,1_399_huber_model,400_799_huber_model,800_1499_huber_model,1499_1999_huber_model,2000_3999_huber_model,4000_above_huber_model,1_399_linear_model,400_799_linear_model,800_1499_linear_model,1499_1999_linear_model,2000_3999_linear_model,4000_above_linear_model,1_399_poisson_model,400_799_poisson_model,800_1499_poisson_model,1499_1999_poisson_model,2000_3999_poisson_model,4000_above_poisson_model,1_399_ransac_model,400_799_ransac_model,800_1499_ransac_model,1499_1999_ransac_model,2000_3999_ransac_model,4000_above_ransac_model,1_399_sgd_model,400_799_sgd_model,800_1499_sgd_model,1499_1999_sgd_model,2000_3999_sgd_model,4000_above_sgd_model
2006,14595.0,82115.0,217760.0,120383.0,209003.0,24993.0,14595.0,82115.0,217760.0,120383.0,209003.0,24993.0,14595.0,82115.0,217760.0,120383.0,209003.0,24993.0,14595.0,82115.0,217760.0,120383.0,209003.0,24993.0,14595.0,82115.0,217760.0,120383.0,209003.0,24993.0
2011,11627.0,54559.0,167780.0,119462.0,302591.0,58342.0,11627.0,54559.0,167780.0,119462.0,302591.0,58342.0,11627.0,54559.0,167780.0,119462.0,302591.0,58342.0,11627.0,54559.0,167780.0,119462.0,302591.0,58342.0,11627.0,54559.0,167780.0,119462.0,302591.0,58342.0
2016,6582.0,37764.0,138662.0,116529.0,338910.0,134000.0,6582.0,37764.0,138662.0,116529.0,338910.0,134000.0,6582.0,37764.0,138662.0,116529.0,338910.0,134000.0,6582.0,37764.0,138662.0,116529.0,338910.0,134000.0,6582.0,37764.0,138662.0,116529.0,338910.0,134000.0
2021,2609.507556357703,20969.1238363515,122201.02355339145,114603.81586184043,345109.3628068154,110155.58273506297,2921.6666666666715,13795.000000000015,95636.00000000003,114937.33333333333,413408.33333333326,181451.99999999997,4932.699786459038,25295.03523778622,108784.815600888,114988.9775783185,442206.40203240636,309885.35915115214,2921.6666666666715,13795.000000000015,95636.00000000003,113596.0,413408.33333333326,181451.99999999997,9785.733949879537,51016.74345225927,184960.8814330658,155866.78076768474,454836.6930093224,161519.92259535217
2026,0.0,4172.537866861967,98302.4017291021,112672.4837639842,369007.97843429405,134054.0988803594,0.0,0.0,56087.00000000003,113010.33333333333,478361.8333333332,235955.49999999997,3390.6220367678343,17108.87866252359,86580.48144606149,113138.64888303372,557198.781242263,715896.4517985513,0.0,0.0,56087.00000000003,110663.0,478361.8333333332,235955.49999999997,9758.674274238063,50417.51388941186,197322.70884995363,177670.15247852728,543826.406918438,204417.8765629091
2031,0.0,0.0,74403.77990481272,110741.15166612797,392906.5940617727,157952.61502565583,0.0,0.0,16538.00000000006,111083.33333333333,543315.3333333331,290458.9999999999,2330.63399231688,11571.983448028332,68908.32811569909,111318.09448744878,702094.04565588,1653862.3544578964,0.0,0.0,16538.00000000006,107730.0,543315.3333333331,290458.9999999999,9731.614598596587,49818.28432656445,209684.53626684146,199473.52418936984,632816.1208275538,247315.83053046608
