,below 18 years_huber_model,18 to 25_huber_model,25 to 34_huber_model,35 to 44_huber_model,45 to 54_huber_model,55 to 64_huber_model,65 above_huber_model,total_population_huber_model,below 18 years_linear_model,18 to 25_linear_model,25 to 34_linear_model,35 to 44_linear_model,45 to 54_linear_model,55 to 64_linear_model,65 above_linear_model,total_population_linear_model,below 18 years_poission_prediction,18 to 25_poission_prediction,25 to 34_poission_prediction,35 to 44_poission_prediction,45 to 54_poission_prediction,55 to 64_poission_prediction,65 above_poission_prediction,total_population_poission_prediction,below 18 years_ransac_model,18 to 25_ransac_model,25 to 34_ransac_model,35 to 44_ransac_model,45 to 54_ransac_model,55 to 64_ransac_model,65 above_ransac_model,total_population_ransac_model,below 18 years_SGD_model,18 to 25_SGD_model,25 to 34_SGD_model,35 to 44_SGD_model,45 to 54_SGD_model,55 to 64_SGD_model,65 above_SGD_model,total_population_SGD_model
2006,1653876.0,516768.0,891047.0,957844.0,904337.0,719539.0,765073.0,6408484.0,1653876.0,516768.0,891047.0,957844.0,904337.0,719539.0,765073.0,6408484.0,1653876.0,516768.0,891047.0,957844.0,904337.0,719539.0,765073.0,6408484.0,1653876.0,516768.0,891047.0,957844.0,904337.0,719539.0,765073.0,6408484.0,1653876.0,516768.0,891047.0,957844.0,904337.0,719539.0,765073.0,6408484.0
2011,1688546.0,537074.0,941508.0,971638.0,950456.0,810292.0,867459.0,6766973.0,1688546.0,537074.0,941508.0,971638.0,950456.0,810292.0,867459.0,6766973.0,1688546.0,537074.0,941508.0,971638.0,950456.0,810292.0,867459.0,6766973.0,1688546.0,537074.0,941508.0,971638.0,950456.0,810292.0,867459.0,6766973.0,1688546.0,537074.0,941508.0,971638.0,950456.0,810292.0,867459.0,6766973.0
2016,1742488.0,581935.0,1067528.0,1002882.0,977983.0,889760.0,1061819.0,7324395.0,1742488.0,581935.0,1067528.0,1002882.0,977983.0,889760.0,1061819.0,7324395.0,1742488.0,581935.0,1067528.0,1002882.0,977983.0,889760.0,1061819.0,7324395.0,1742488.0,581935.0,1067528.0,1002882.0,977983.0,889760.0,1061819.0,7324395.0,1742488.0,581935.0,1067528.0,1002882.0,977983.0,889760.0,1061819.0,7324395.0
2021,1740921.1268395213,577738.9058085947,1000594.4194832279,1008841.2636278487,996711.2021475786,855449.6156785571,946028.0754372203,6881849.726107133,1783582.0,610426.0,1143175.3333333335,1022492.6666666666,1017904.6666666665,976751.3333333334,1194863.0,7749194.999999999,1785542.9484962814,613791.9791803621,1157380.2591608798,1023369.39546984,1020355.2662375994,992736.4125486045,1240244.0310940987,7802496.141060449,1783582.0,610426.0,1143175.3333333335,1022492.6666666666,1017904.6666666665,976751.3333333334,1194863.0,7749194.999999999,2305387.5301577663,764867.0439888069,1390844.0425606915,1325859.6672209718,1301095.7403176343,1173491.8064170955,1372940.5157409492,9632347.889752232
2026,1764819.7536366936,598059.0307364645,1024493.0566739999,1025442.6359898837,1020609.8356066386,879909.2562892678,969983.6258455056,6906132.637616574,1827888.0,643009.5,1231415.8333333335,1045011.6666666665,1054727.6666666665,1061861.8333333335,1343236.0,8207150.499999999,1832837.278648246,651612.0383267992,1268159.4986133727,1047221.9788645685,1060942.2440597885,1103440.3627115402,1464142.5059867695,8343746.03132432,1827888.0,643009.5,1231415.8333333335,1045011.6666666665,1054727.6666666665,1061861.8333333335,1343236.0,8207150.499999999,2652996.0765526295,886984.7476775858,1622906.5773069782,1524709.3687873767,1502111.9128561213,1372969.649112116,1624542.0283798473,11184329.961880343
2031,1788718.3804338658,618379.1556643344,1048391.6938647719,1042044.0083519185,1044508.4690656987,904368.8968999786,993939.176253791,6930415.549126015,1872194.0,675593.0,1319656.3333333333,1067530.6666666665,1091550.6666666665,1146972.3333333333,1491608.9999999998,8665106.0,1881384.3110476702,691762.4584462637,1389542.0292457005,1071630.5156981247,1103143.6622864567,1226489.3466888547,1728460.8706772893,8922541.783632148,1872194.0,675593.0,1319656.3333333333,1067530.6666666665,1091550.6666666665,1146972.3333333333,1491608.9999999998,8665106.0,3000604.6229474926,1009102.4513663647,1854969.1120532649,1723559.0703537816,1703128.0853946083,1572447.4918071362,1876143.5410187456,12736312.034008455
