,Married_registered_huber_model,Married_de_facto_huber_model,Not_married_huber_model,Married_registered_linear_model,Married_de_facto_linear_model,Not_married_linear_model,Married_registered_poisson_model,Married_de_facto_poisson_model,Not_married_poisson_model,Married_registered_ransac_model,Married_de_facto_ransac_model,Not_married_ransac_model,Married_registered_sgd_model,Married_de_facto_sgd_model,Not_married_sgd_model
2006,2394433.0,364902.0,1932878.0,2394433.0,364902.0,1932878.0,2394433.0,364902.0,1932878.0,2394433.0,364902.0,1932878.0,2394433.0,364902.0,1932878.0
2011,2514379.0,418727.0,2096246.0,2514379.0,418727.0,2096246.0,2514379.0,418727.0,2096246.0,2514379.0,418727.0,2096246.0,2514379.0,418727.0,2096246.0
2016,2612630.0,506133.0,2290887.0,2612630.0,506133.0,2290887.0,2612630.0,506133.0,2290887.0,2612630.0,506133.0,2290887.0,2612630.0,506133.0,2290887.0
2021,2556003.631218619,477885.0663467234,2155580.7752457527,2725344.3333333335,571151.6666666666,2464679.333333333,2733469.0560128484,592611.337810259,2491395.844705524,2725344.3333333335,571151.6666666666,2464679.333333333,3468836.002658599,656718.1664288907,3018329.689527192
2026,2580431.762813947,501867.2755765056,2180035.8111167625,2834442.8333333335,641767.1666666666,2643683.833333333,2855081.03645428,698918.9846001328,2712622.4810795723,2834442.8333333335,641767.1666666666,2643683.833333333,4008961.526952574,776936.3962139022,3518320.84452808
2031,2604859.8944092756,525849.4848062877,2204490.8469877723,2943541.333333333,712382.6666666665,2822688.333333333,2982103.5313313347,824296.9985007009,2953493.215658802,2943541.333333333,712382.6666666665,2822688.333333333,4549087.05124655,897154.6259989137,4018311.9995289687
